119	-16
163	36
43	-136
299	114
148	22
220	-55
267	28
240	-10
233	-53
225	-56
213	-139
242	-66
310	-134
250	-55
214	7
69	-64
251	-27
188	77
263	135
376	50
165	-40
126	-54
336	3
286	-148
163	71
236	-139
103	-21
-38	-120
222	8
280	167
252	-2
331	153
155	55
248	7
84	104
380	-15
319	-67
331	21
113	-30
270	58
74	-44
241	-56
242	9
79	20
124	0
90	1
222	13
242	43
145	-58
117	-48
184	112
183	-7
46	-197
212	-29
49	-25
210	-21
148	34
392	56
97	-129
170	21
350	-9
191	-76
313	-89
138	103
147	124
227	-41
284	-36
123	-170
278	-154
292	-155
57	-16
87	-112
175	87
143	-14
345	-45
242	25
174	9
131	-49
91	-35
226	-71
78	-4
243	-108
68	30
228	213
217	-40
301	116
26	-123
259	133
209	131
106	-2
171	5
35	5
255	32
332	92
284	45
176	47
280	101
196	-46
260	11
187	-50
251	-97
200	103
85	-10
216	50
174	49
249	-47
221	-47
266	-33
128	-97
179	41
123	-72
252	-184
103	-37
261	-26
250	-163
270	5
123	-100
337	-63
213	7
392	25
126	-16
260	-38
100	-112
231	-1
149	-86
67	122
128	-35
199	-46
330	124
83	43
172	118
209	-56
255	190
173	-16
206	104
128	107
253	69
239	-11
124	-3
149	-120
195	-74
88	-11
148	102
179	33
170	182
-39	-4
123	-137
209	-7
409	26
343	16
188	-59
175	78
236	-80
260	18
118	41
58	22
299	42
173	-37
247	50
150	-176
79	-69
168	139
146	17
31	80
116	-78
171	-64
372	-98
461	66
255	165
171	-140
172	-11
67	85
152	-63
283	39
345	95
110	76
249	-19
340	45
252	-13
206	-94
38	-52
242	-59
180	94
297	106
144	40
50	1
236	-13
152	-83
145	-79
252	127
201	72
175	-33
236	22
97	-21
94	-23
313	-32
191	-9
211	148
96	-12
239	59
304	-183
205	26
275	4
200	60
60	75
77	45
156	-18
217	-18
243	32
325	-22
397	106
200	-156
313	41
76	-133
189	3
95	-24
249	-207
132	-133
166	-98
112	-90
219	117
258	70
221	55
247	-38
154	-61
306	-106
128	63
256	115
283	-47
-10	13
-29	164
-10	108
225	-72
116	13
350	65
145	-94
278	130
291	29
210	-22
151	188
312	-68
91	-128
228	105
132	48
92	29
225	-110
206	-117
167	-121
56	32
85	-128
434	-108
114	-109
68	32
110	50
335	50
178	28
252	23
37	82
182	19
216	-186
160	86
296	-103
186	-95
61	-108
60	1
117	-24
239	8
136	11
191	-93
73	-45
238	111
169	16
185	62
377	108
148	-176
357	-29
109	140
22	10
228	101
195	98
200	-199
286	138
2	-36
231	-29
265	-30
312	102
184	103
146	-100
29	-206
257	-25
331	-174
330	90
178	-34
340	2
251	-185
247	-84
91	-95
275	-32
228	-50
364	29
219	-2
115	91
294	-12
347	25
189	-31
108	-64
208	-74
67	37
194	-114
377	8
279	46
159	-16
261	83
222	22
88	-112
251	-40
135	-98
273	-99
138	19
307	-16
89	7
-20	-96
207	-28
26	-108
294	-72
162	49
311	105
197	-115
353	-60
231	16
170	-44
296	44
144	50
371	88
271	57
200	-8
156	14
313	136
327	-32
411	25
288	-80
194	5
130	95
261	8
186	90
218	-16
181	-229
297	-69
70	42
26	-164
320	-61
317	38
151	34
276	-29
220	24
348	38
188	-60
256	33
166	62
43	64
258	110
120	182
296	15
89	-66
223	35
181	142
124	-11
305	-28
151	64
40	100
312	-31
106	-74
165	-85
285	39
313	84
340	148
206	13
46	155
160	23
344	87
47	-86
145	75
220	-102
250	-61
178	-78
306	18
178	-4
172	107
182	70
186	-101
188	-85
312	56
310	-7
185	-64
240	104
217	-53
210	-82
283	-136
184	32
213	-26
186	-54
283	-9
174	77
167	11
350	128
98	-172
246	174
93	-51
153	103
154	9
19	-70
242	-61
251	13
62	139
216	6
115	-59
88	-32
123	-2
203	-185
227	-8
257	158
109	-94
143	97
149	64
225	2
304	-80
55	-143
82	65
273	-78
137	-55
80	95
272	22
140	-83
293	11
149	-56
117	111
234	-27
126	-58
149	22
291	-11
183	-65
374	-71
276	-86
228	59
188	85
193	165
193	8
79	58
275	-15
205	34
149	92
110	68
174	-20
89	99
109	32
333	-37
53	-133
98	-76
134	28
139	-21
213	-97
240	135
158	3
146	135
-21	136
298	79
118	-16
8	-125
201	179
135	68
59	51
202	-47
92	-24
451	75
201	9
249	-33
310	-9
149	77
160	-44
282	-73
228	71
64	3
125	-107
210	-22
191	15
118	-17
90	-15
198	-36
190	87
161	-52
425	-24
308	47
185	16
248	2
97	-125
131	-117
170	36
27	90
121	50
242	-57
339	-26
273	-210
57	-85
204	1
133	57
254	156
228	133
382	-16
328	69
258	-46
172	173
357	-28
153	83
371	189
110	-98
222	78
181	-174
135	76
244	138
149	90
203	13
269	74
255	-186
100	-25
212	84
191	4
330	-14
77	63
208	85
222	-9
80	-195
188	114
261	38
199	-62
178	-32
312	136
40	140
299	95
77	-54
150	110
134	216
185	-99
445	33
149	-20
184	-104
271	-36
274	92
67	-72
253	12
244	-102
91	64
185	-57
246	-87
206	37
341	92
129	-125
210	-34
297	-40
261	43
204	-129
126	-40
360	-159
218	-22
199	17
327	-112
-7	-23
235	38
285	72
142	-114
266	-196
72	-74
240	-106
319	-52
147	114
176	17
233	-135
109	-22
304	47
295	0
12	139
170	90
332	-80
142	-12
213	-34
277	30
178	-11
119	-138
237	140
100	-77
105	112
386	49
321	-43
20	112
373	-110
272	45
337	175
156	-68
278	-238
238	-9
59	3
284	-77
217	-59
60	36
126	89
293	-34
235	155
265	-109
232	41
187	57
222	-16
77	87
188	-134
66	-43
291	249
309	154
169	20
183	72
135	-33
